variable,estimate,standard_error,z_value,p_value
(Intercept),-10.393832528707405,0.2558539431844489,-40.62408575510731,0
PM2.5_concentration,0.1069855441022069,0.026130424459669552,4.094290326869028,4.234634245382434e-5
"factor(population_density_quantile)(14.3,42.1]",0.190702371440913,0.08648556996255895,2.2050195370565433,0.027452723605070714
"factor(population_density_quantile)(383,7.94e+04]",0.23218273530385694,0.08124216990368965,2.857909083165838,0.004264425564438999
"factor(population_density_quantile)(42.1,107]",0.20385230080395558,0.07437233859642266,2.7409693530029857,0.006125822099019913
"factor(population_density_quantile)[0.218,14.3]",0.29405825434874505,0.12977409106696608,2.2659242066816327,0.023456024232038745
scale(proportion_poor),0.036372268275713944,0.03709908000118961,0.9804089016371198,0.32688431748745583
scale(log(median_house_value)),0.13180746113927722,0.0670202809126986,1.9666802249153679,0.049220088089424255
scale(log(median_household_income)),0.17186395049551917,0.0650798936562455,2.6408148637013937,0.008270690096703517
scale(proportion_owner_occupied),0.11309868514606972,0.03762718318860425,3.005770710477279,0.0026490867276354807
scale(proportion_no_high_school),0.18400151483309304,0.04502766542849118,4.086410278705375,4.380987906470138e-5
scale(proportion_black),0.3973484625605956,0.03873977583668544,10.256860138677368,1.1023284336309532e-24
scale(proportion_hispanic),0.05978936517494423,0.045656999029024516,1.3095334000584589,0.19035373157396873
scale(proportion_65_and_over),0.04054347844106447,0.05602423022444007,0.7236775637727145,0.4692637104616422
scale(proportion_15_to_44),-0.25414765863875033,0.07170420933052567,-3.544389667100833,3.935231710617007e-4
scale(proportion_45_to_64),-0.27563730357709576,0.05322073773579836,-5.179133460070233,2.2291895188187869e-7
scale(days_since_social_distancing),0.17896789405467894,0.12169250257020398,1.4706566984390266,0.14138398215637732
scale(days_since_covid),0.796876622152775,0.07452093546497658,10.693325535711931,1.0937738115875968e-26
scale(hospital_beds/population),0.00412271466038959,0.0355083378828146,0.11610553763444134,0.9075689001012781
scale(proportion_obsese),-0.03144320628628876,0.034916784652143845,-0.9005183781822873,0.3678444494707245
scale(proportion_smoke),0.1314369234203842,0.06191301462088737,2.12292882563082,0.03375981652008317
scale(summer_mean_maximum_temperature),0.09596952966135917,0.0799291309666814,1.2006827610995074,0.22987428369228577
scale(winter_mean_maximum_temperature),-0.17218357179414717,0.1075319343677798,-1.6012319764029017,0.10932554895238884
scale(summer_mean_relative_humidity),-0.04055006078315591,0.0762415849427703,-0.5318627729682464,0.594821042348306
scale(winter_mean_relative_humidity),-0.06097862747158988,0.05083284741751907,-1.1995910237083072,0.2302982144065409
