variable,estimate,standard_error,z_value,p_value
(Intercept),-7.375739434169696,0.11841574756463681,-62.286812234527126,0
PM2.5_concentration,0.01595146962705005,0.011295003886532175,1.4122588878495301,0.15787374690432485
"factor(population_density_quantile)(14.3,42.1]",0.10986044993897476,0.03668718778392949,2.9945181567473047,0.002748786951940731
"factor(population_density_quantile)(383,7.94e+04]",0.10557242839610428,0.037904815044525246,2.7851983520323906,0.005349498794771846
"factor(population_density_quantile)(42.1,107]",0.04341370159980487,0.033208860330274474,1.3072927275443798,0.19111331317202798
"factor(population_density_quantile)[0.218,14.3]",0.1643918733935192,0.050846792467992744,3.2330824701873047,0.0012246220422880566
scale(proportion_poor),0.021198016386799776,0.015109376827423545,1.4029709252022453,0.1606255091830645
scale(log(median_house_value)),-0.01762426241823804,0.025660724192422688,-0.6868185903904567,0.49219705327622615
scale(log(median_household_income)),0.0506491843046856,0.025712514653286358,1.9698261717164272,0.04885829601034276
scale(proportion_owner_occupied),0.03180389405349364,0.01543632677234974,2.0603278566544887,0.03936720858374877
scale(proportion_no_high_school),0.13625370517378263,0.018546432162896347,7.34662623932431,2.032722397306333e-13
scale(proportion_black),0.079948628217212,0.017510392097082175,4.565781724016,4.97636370800699e-6
scale(proportion_hispanic),0.09668194652622587,0.01821892739807533,5.306676096444595,1.1164230334479112e-7
scale(proportion_65_and_over),0.1506852502500105,0.023479636002840608,6.4176995857934225,1.3834891995761699e-10
scale(proportion_15_to_44),-0.08271114911777867,0.02664472985482975,-3.1042217192074872,0.0019078030323471638
scale(proportion_45_to_64),-0.11972004400992761,0.02095091137519497,-5.714311987003644,1.1014875368387205e-8
scale(days_since_social_distancing),0.017191188063218645,0.07053350025679177,0.24373082295122994,0.8074392998553788
scale(days_since_covid),0.07514609768927423,0.019046799182890962,3.9453399475527204,7.968684468557146e-5
scale(hospital_beds/population),0.0835452558977663,0.013218357041896243,6.3203963724814995,2.60893236420619e-10
scale(proportion_obsese),0.007938040367944455,0.014634341863779434,0.542425511296235,0.5875254091208207
scale(proportion_smoke),0.10287607853951485,0.024649966135271203,4.173477479642914,2.9998532584785033e-5
scale(summer_mean_maximum_temperature),0.24133868978857526,0.03522702822556594,6.850952292746176,7.335998036181288e-12
scale(winter_mean_maximum_temperature),-0.24005832783505482,0.0487512817097,-4.924143928451642,8.473045831911864e-7
scale(summer_mean_relative_humidity),0.09365099300038664,0.034207863197555026,2.7377036811548128,0.006186979449187037
scale(winter_mean_relative_humidity),-0.09116894155693218,0.021496686192046716,-4.241069564976141,2.2245717019912192e-5
