variable,estimate,standard_error,z_value,p_value
(Intercept),-10.977322683813846,0.3141142996005912,-34.94690530730995,1.4429449649527212e-267
PM2.5_concentration,0.06826123030848151,0.03293551437723397,2.072572164097299,0.03821211382454691
"factor(population_density_quantile)(14.3,42.1]",0.2020289979714639,0.1124442806359209,1.7967031922735668,0.07238275191061662
"factor(population_density_quantile)(383,7.94e+04]",0.1731271961554801,0.10280351163238323,1.684059166914147,0.09217023471505456
"factor(population_density_quantile)(42.1,107]",0.22828759521133976,0.09472067661920217,2.4101136452931584,0.015947552091740105
"factor(population_density_quantile)[0.218,14.3]",0.004219335481721637,0.1804440769565046,0.02338306445347437,0.9813447139217912
scale(proportion_poor),0.08906317911791782,0.06435303557363552,1.3839779013378148,0.1663652214354253
scale(log(median_house_value)),0.09615808575923274,0.08634556347614934,1.1136424604582473,0.26543260304496236
scale(log(median_household_income)),0.3202164104918521,0.09942559292792649,3.2206638257010614,0.0012789407224332815
scale(proportion_owner_occupied),0.10728987502193289,0.049198850672419,2.180739459470338,0.029202692673179056
scale(proportion_no_high_school),0.2116174516130388,0.06477680167617077,3.266870949741346,0.0010874323852708328
scale(proportion_black),0.430190160047201,0.0498776186526244,8.624913772313102,6.414096368317218e-18
scale(proportion_hispanic),0.15562575644432783,0.09086066692300612,1.7127956652156495,0.08675013789519878
scale(proportion_65_and_over),0.06924450781970727,0.07396045413922114,0.9362369204678395,0.34915121781628744
scale(proportion_15_to_44),-0.2359902615486431,0.09852052003098853,-2.395341208861007,0.016604904866658415
scale(proportion_45_to_64),-0.2692931355622284,0.07251869067868177,-3.713430745122266,2.0446843654718663e-4
scale(days_since_social_distancing),0.2641863028934631,0.13445450602811604,1.964875039875708,0.04942870227976413
scale(days_since_covid),0.8387162571802622,0.09933819252885913,8.443039236259542,3.0919125931638125e-17
scale(hospital_beds/population),-0.017549106677657814,0.048574407814843665,-0.36128297733554765,0.7178879176972197
scale(proportion_obsese),-0.01968165628906643,0.04500683448875777,-0.4373037231485964,0.661891095594767
scale(proportion_smoke),0.10895944266221354,0.08166625396980647,1.3342039993961015,0.1821370091842169
scale(summer_mean_maximum_temperature),0.1659513825532027,0.10086905948308719,1.6452159205571646,0.09992529149793504
scale(winter_mean_maximum_temperature),-0.18709647344038927,0.13057905913582246,-1.432821423883748,0.15190887718960652
scale(summer_mean_relative_humidity),0.039520979623106044,0.09241241988338247,0.42765874622673605,0.6688995888846294
scale(winter_mean_relative_humidity),-0.08713757917901453,0.06498021392276478,-1.3409863390506211,0.17992488800289322
