variable,estimate,standard_error,z_value,p_value
(Intercept),-8.808077029940383,0.21647088348514754,-40.68943078224523,0
PM2.5_concentration,0.005643377653689147,0.01191536818651456,0.4736217601799452,0.6357696553645851
"factor(population_density_quantile)(14.3,42.1]",-0.061190032876957,0.03929697888370754,-1.5571179926588778,0.1194424739245344
"factor(population_density_quantile)(383,7.94e+04]",-0.08915991161653779,0.03620397632060863,-2.4627104721031623,0.013789121454421845
"factor(population_density_quantile)(42.1,107]",0.006389953320692896,0.03350499702238303,0.19071642705785305,0.8487477679875874
"factor(population_density_quantile)[0.218,14.3]",-0.16522567975102542,0.059319595482318674,-2.7853473781741154,0.005347040524587653
scale(proportion_poor),-0.0014386806530486784,0.02170640439940241,-0.06627908641968755,0.947155633226536
scale(log(median_house_value)),-0.05581198385641245,0.027656749896618097,-2.0180239567208584,0.04358876636918952
scale(log(median_household_income)),-0.1429917487474737,0.03308462604323882,-4.321999848527697,1.546212951299e-5
scale(proportion_owner_occupied),0.017069428592344067,0.016633476695144995,1.0262093070011225,0.30479293533681
scale(proportion_no_high_school),-0.009587249207134057,0.021823813363663947,-0.4393021992708463,0.6604425808445525
scale(proportion_black),-0.1717396912669555,0.0179984352574303,-9.541923440042165,1.4020735819252242e-21
scale(proportion_hispanic),-0.1547730125428078,0.030519696528699656,-5.071250049857627,3.952110864063019e-7
scale(proportion_65_and_over),0.03702196594818291,0.029134577476880058,1.2707225968031266,0.2038273537116402
scale(proportion_15_to_44),-0.07755721212241058,0.039398811402082526,-1.9685165456110967,0.049008634280997485
scale(proportion_45_to_64),0.07356513095784394,0.028209175281779984,2.6078440870038087,0.009111444483061039
scale(days_since_social_distancing),0.12124906232458273,0.20555101839402767,0.5898733232844233,0.5552755800947458
scale(days_since_covid),0.05408589758930469,0.030721466437122764,1.760524605815989,0.07831889928528675
scale(hospital_beds/population),0.04754444775108614,0.015401544996884656,3.0869921011627848,0.002021929693600749
scale(proportion_obsese),0.06678637006953544,0.015701350660059933,4.253542992286787,2.1041451756605798e-5
scale(proportion_smoke),0.12803304358043363,0.029555485784193404,4.331955309931231,1.4779094451993493e-5
scale(summer_mean_maximum_temperature),0.10293092003697898,0.03839130756165017,2.681099617971822,0.007338066766027746
scale(winter_mean_maximum_temperature),0.34932200343066916,0.059036299840953654,5.917071435231506,3.277243810976374e-9
scale(summer_mean_relative_humidity),-0.036222267243934715,0.04297831910694037,-0.8428032551437162,0.3993384871920362
scale(winter_mean_relative_humidity),0.06864307766430092,0.02383358653490069,2.8800985350561272,0.0039755090188461455
