variable,estimate,standard_error,z_value,p_value
(Intercept),-8.642988617653579,0.20415571474910255,-42.33527642503367,0
PM2.5_concentration,-0.029671873481713393,0.011665119409155392,-2.5436407842019486,0.010970383831693907
"factor(population_density_quantile)(14.3,42.1]",-0.06816404717925718,0.03986954430764991,-1.7096771072494628,0.0873255983018462
"factor(population_density_quantile)(383,7.94e+04]",-0.08111901973607659,0.036030138785049286,-2.2514212398686886,0.024358870120738077
"factor(population_density_quantile)(42.1,107]",-0.05972190178844999,0.03396007314556238,-1.7585916712389045,0.07864688865078334
"factor(population_density_quantile)[0.218,14.3]",-0.09973623556728474,0.05743332374231408,-1.736556916238576,0.08246540983415297
scale(proportion_poor),-0.028388061899825304,0.022635712398867948,-1.2541271685906843,0.2097957867277621
scale(log(median_house_value)),-0.09481463602116427,0.02835072458844446,-3.344346128628049,8.247676692573797e-4
scale(log(median_household_income)),-0.1381487732344794,0.033995819777123765,-4.063698835332735,4.8301139536754666e-5
scale(proportion_owner_occupied),0.016558948171336366,0.016968959481969723,0.9758375691173632,0.3291449639553087
scale(proportion_no_high_school),0.030617758535617774,0.022749912950564576,1.3458406896830761,0.17835389981139005
scale(proportion_black),-0.13090755276427163,0.019491292054569606,-6.7162070322362855,1.8651574468607215e-11
scale(proportion_hispanic),-0.1150768413413367,0.031601384459405045,-3.6415126523701433,2.7104080202866576e-4
scale(proportion_65_and_over),0.038154958409798816,0.028202768485676266,1.3528798929501231,0.1760940039447929
scale(proportion_15_to_44),-0.0917637025376424,0.03737386465398594,-2.455290706144722,0.01407706978858013
scale(proportion_45_to_64),0.01662305527115886,0.027376757694203988,0.6071959089106514,0.5437209069348306
scale(days_since_social_distancing),0.1534971804302456,0.1913951066660015,0.8019911433687248,0.42255808143292484
scale(days_since_covid),0.07490884473292045,0.03191955302577021,2.3468011808449476,0.018935355768622063
scale(hospital_beds/population),0.02801843975507198,0.014782597726726599,1.8953664486462538,0.05804387044940348
scale(proportion_obsese),0.09368351682154163,0.016130439863533446,5.807871181078867,6.32721667751941e-9
scale(proportion_smoke),0.060100361108686766,0.028558316469550836,2.1044784335507445,0.03533673393299018
scale(summer_mean_maximum_temperature),0.12306835943693807,0.037035003862403146,3.3230281248025864,8.904593607749642e-4
scale(winter_mean_maximum_temperature),-0.10798240690793166,0.05929579342520948,-1.821080394920952,0.068594636964269
scale(summer_mean_relative_humidity),-0.08044773529481891,0.04013343498142579,-2.0045065998475096,0.04501582064838806
scale(winter_mean_relative_humidity),0.0598979697413949,0.02374235955346961,2.522831381038607,0.011641420713295658
