variable,estimate,standard_error,z_value,p_value
(Intercept),-6.3770640579870514,0.07613583997209737,-83.75902939173126,0
PM2.5_concentration,0.009803690544611847,0.008092331423115261,1.2114791191829084,0.2257118326192165
"factor(population_density_quantile)(186,7.22e+04]",0.089297910639206,0.030291128479505516,2.947988903735413,0.003198485452533698
"factor(population_density_quantile)(33,67]",0.0034990109000896776,0.020868303724462113,0.16767107409827894,0.8668420535104641
"factor(population_density_quantile)(67,186]",0.02751242317395443,0.023812851528829077,1.1553602952862012,0.24794291410273833
"factor(population_density_quantile)[0.0385,12.5]",-0.04291735420943179,0.02817344314635279,-1.523326559217086,0.1276770256230643
scale(proportion_poor),-0.030895929474841405,0.017847660850449646,-1.7310912468433097,0.08343549129905171
scale(log(median_house_value)),-0.0913063081487688,0.017841171925408773,-5.117730412021508,3.092341754202304e-7
scale(log(median_household_income)),0.0020675800005727973,0.022168166480710284,0.09326797515581228,0.925690673278385
scale(proportion_owner_occupied),0.0047880290174440385,0.01145438866438401,0.41800825497844474,0.6759410817092683
scale(proportion_no_high_school),0.1209953093229352,0.013461193424243975,8.988453364396307,2.5073382620949836e-19
scale(proportion_black),0.03302374393446558,0.010970756629696706,3.010161017069116,0.0026110922761998835
scale(proportion_hispanic),0.04000115746652029,0.012969563593180092,3.0842331107851986,0.002040776224493446
scale(proportion_65_and_over),0.19152567118443256,0.016221354190677263,11.80700876961963,3.5911096497738725e-32
scale(proportion_15_to_44),-0.05098391569998608,0.018154621103655885,-2.8083161531649483,0.004980130884498533
scale(proportion_45_to_64),-0.09615164267691927,0.014204007850953423,-6.769331845340062,1.2937848576970132e-11
scale(days_since_social_distancing),0.004180712765012328,0.04892864316806135,0.0854450991140774,0.9319075403254724
scale(days_since_covid),0.06944898780717755,0.014917671242710857,4.655484537582368,3.2321966469674413e-6
scale(hospital_beds/population),0.03188977564848749,0.007735697513296543,4.1224176092296245,3.7491672488142284e-5
scale(proportion_obsese),0.001326715304316563,0.008756285559208135,0.1515157649148828,0.8795688757981903
scale(proportion_smoke),0.07194378636747183,0.018095453875813662,3.9757934153633863,7.014499845458348e-5
scale(summer_mean_maximum_temperature),0.18696135754652987,0.021210454937513726,8.814584981666846,1.2012922632076058e-18
scale(winter_mean_maximum_temperature),-0.22852398280186187,0.029861858662818114,-7.652704588224572,1.967956546291708e-14
scale(summer_mean_relative_humidity),0.060411887429255705,0.0210198091666329,2.8740454754058504,0.004052506079393393
scale(winter_mean_relative_humidity),-0.06593963367309495,0.012668594832406916,-5.204968234078967,1.9402979409179904e-7
